Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento
2010;3553148;1789736;1763412;79633;19636;x;22.41;5.53;70.37;67.27;73.81;22.2;24.26;20.03;2.47;53.99;6.43;60.42;11.87
2011;3618040;1821875;1796165;81847;19821;1.83;22.62;5.48;70.64;67.51;74.11;21.43;23.48;19.28;2.49;52.51;6.46;58.97;12.42
2012;3684326;1854683;1829643;82986;20084;1.83;22.52;5.45;70.91;67.75;74.41;20.71;22.74;18.57;2.48;51.06;6.5;57.56;12.65
2013;3751293;1887797;1863496;83861;20356;1.82;22.36;5.43;71.17;67.98;74.7;20.03;22.04;17.91;2.46;49.68;6.56;56.24;13.21
2014;3819636;1921573;1898063;86433;20662;1.82;22.63;5.41;71.42;68.2;74.98;19.38;21.38;17.28;2.49;48.48;6.64;55.12;13.74
2015;3887740;1955183;1932557;84097;20954;1.78;21.63;5.39;71.67;68.42;75.25;18.77;20.76;16.69;2.39;47.46;6.74;54.2;14.29
2016;3952171;1986871;1965300;79746;21202;1.66;20.18;5.36;71.91;68.64;75.51;18.21;20.17;16.14;2.24;46.32;6.87;53.19;14.9
2017;4015812;2018116;1997696;83212;21533;1.61;20.72;5.36;72.14;68.86;75.77;17.67;19.62;15.62;2.31;45.4;7.02;52.42;15.44
2018;4080611;2049916;2030695;82900;21920;1.61;20.32;5.37;72.37;69.07;76.01;17.17;19.11;15.13;2.28;44.69;7.2;51.89;15.99
2019;4144597;2081262;2063335;82462;22295;1.57;19.9;5.38;72.59;69.27;76.25;16.7;18.62;14.68;2.25;44.09;7.4;51.49;16.84
