Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento
2010;2494745;1243373;1251372;41441;14732;x;16.61;5.91;73.8;70.41;77.56;17.03;18.3;15.69;1.92;37.32;9.7;47.02;25.98
2011;2525762;1258190;1267572;42870;14913;1.24;16.97;5.9;74.12;70.71;77.86;16.47;17.73;15.14;1.98;36.49;9.9;46.4;27.31
2012;2557442;1273340;1284102;43270;15123;1.25;16.92;5.91;74.42;71.01;78.15;15.93;17.18;14.62;1.98;35.76;10.13;45.9;28.16
2013;2589069;1288460;1300609;43298;15337;1.24;16.72;5.92;74.71;71.3;78.44;15.42;16.66;14.12;1.97;35.11;10.38;45.49;29.46
2014;2621214;1303844;1317370;44872;15576;1.24;17.12;5.94;75;71.59;78.71;14.94;16.16;13.65;2.04;34.58;10.66;45.24;30.67
2015;2653928;1319520;1334408;45027;15819;1.25;16.97;5.96;75.28;71.86;78.97;14.48;15.69;13.2;2.04;34.2;10.97;45.17;32.2
2016;2685454;1334589;1350865;43089;16056;1.19;16.05;5.98;75.54;72.13;79.23;14.04;15.25;12.77;1.95;33.92;11.32;45.25;33.33
2017;2716534;1349434;1367100;44747;16321;1.16;16.47;6.01;75.8;72.39;79.47;13.62;14.82;12.37;2.03;33.75;11.71;45.46;34.48
2018;2748023;1364494;1383529;44573;16609;1.16;16.22;6.04;76.06;72.64;79.71;13.23;14.41;11.99;2.02;33.6;12.12;45.72;35.93
2019;2778986;1379290;1399696;44391;16906;1.13;15.97;6.08;76.3;72.88;79.94;12.86;14.03;11.62;2.02;33.42;12.55;45.96;37.55
2020;2809394;1393810;1415584;44180;17214;1.09;15.73;6.13;76.53;73.12;80.16;12.5;13.67;11.28;2.01;33.24;13;46.24;39.21
2021;2839188;1408025;1431163;43906;17536;1.06;15.46;6.18;76.75;73.35;80.37;12.17;13.32;10.96;2.01;33.12;13.47;46.59;40.71
2022;2868279;1421890;1446389;43546;17874;1.02;15.18;6.23;76.97;73.57;80.58;11.85;12.99;10.65;2;33.11;13.98;47.09;42.22
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
