Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento
2010;3192643;1565065;1627578;51267;26117;x;16.06;8.18;69.92;66.09;73.92;23.45;25.13;21.67;1.8;41.86;11.32;53.18;27.11
2011;3202880;1568145;1634735;51838;26082;0.32;16.18;8.14;70.12;66.23;74.17;22.6;24.08;21.04;1.82;40.75;11.38;52.13;27.99
2012;3212635;1570970;1641665;49829;26103;0.3;15.51;8.13;70.31;66.37;74.41;21.81;23.13;20.42;1.75;39.6;11.47;51.07;29.01
2013;3220646;1572901;1647745;47954;26145;0.25;14.89;8.12;70.5;66.51;74.64;21.07;22.25;19.83;1.69;38.39;11.58;49.97;30.08
2014;3228556;1574784;1653772;49307;26242;0.25;15.27;8.13;70.68;66.65;74.87;20.37;21.43;19.26;1.74;37.25;11.72;48.96;31.6
2015;3237691;1577300;1660391;50174;26376;0.28;15.5;8.15;70.87;66.79;75.1;19.72;20.68;18.71;1.77;36.24;11.87;48.12;32.65
2016;3246228;1579517;1666711;47904;26495;0.26;14.76;8.16;71.06;66.92;75.33;19.11;19.98;18.18;1.7;35.14;12.04;47.18;34.31
2017;3254626;1581671;1672955;49713;26652;0.26;15.27;8.19;71.23;67.06;75.54;18.53;19.33;17.68;1.77;34.23;12.24;46.47;35.9
2018;3263754;1584209;1679545;49251;26842;0.28;15.09;8.22;71.41;67.2;75.76;17.98;18.73;17.19;1.76;33.6;12.48;46.08;36.96
2019;3272447;1586538;1685909;48757;27027;0.27;14.9;8.26;71.59;67.34;75.97;17.46;18.16;16.73;1.75;33.04;12.74;45.78;38.33
2020;3280697;1588657;1692040;48296;27233;0.25;14.72;8.3;71.76;67.47;76.17;16.98;17.63;16.28;1.75;32.42;13;45.42;39.91
2021;3288504;1590568;1697936;47849;27462;0.24;14.55;8.35;71.93;67.61;76.37;16.51;17.13;15.86;1.74;31.84;13.29;45.13;42.01
2022;3295812;1592243;1703569;47315;27710;0.22;14.36;8.41;72.1;67.75;76.57;16.07;16.67;15.45;1.74;31.39;13.6;44.99;43.52
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
