Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento
2010;16303188;7785937;8517251;213558;118313;x;13.1;7.26;74.2;70.28;77.96;14.06;15.16;12.91;1.59;31.13;12.77;43.9;41.2
2011;16405508;7834418;8571090;218823;119041;0.63;13.34;7.26;74.56;70.71;78.23;13.6;14.64;12.5;1.63;30.36;13.05;43.41;42.92
2012;16510627;7884719;8625908;220988;120000;0.64;13.38;7.27;74.9;71.12;78.5;13.14;14.14;12.1;1.64;29.6;13.37;42.98;45.41
2013;16616344;7935688;8680656;222145;121022;0.64;13.37;7.28;75.24;71.53;78.76;12.71;13.65;11.71;1.65;28.89;13.73;42.62;47.29
2014;16726184;7989111;8737073;231533;122152;0.66;13.84;7.3;75.57;71.92;79.01;12.29;13.19;11.34;1.72;28.31;14.12;42.44;49.75
2015;16841138;8045483;8795655;234820;123326;0.69;13.94;7.32;75.88;72.29;79.26;11.89;12.75;10.98;1.75;27.92;14.55;42.48;52.04
2016;16947738;8097888;8849850;217232;124413;0.63;12.82;7.34;76.19;72.65;79.5;11.5;12.32;10.63;1.62;27.61;15.02;42.63;54.12
2017;17051465;8149121;8902344;231580;125689;0.61;13.58;7.37;76.48;73;79.73;11.12;11.91;10.3;1.74;27.44;15.53;42.97;56.77
2018;17159960;8203078;8956882;229633;127130;0.64;13.38;7.41;76.76;73.34;79.96;10.77;11.51;9.98;1.74;27.38;16.08;43.46;58.64
2019;17264943;8255502;9009441;227561;128550;0.61;13.18;7.45;77.03;73.66;80.17;10.42;11.14;9.67;1.73;27.32;16.67;43.99;61.05
2020;17366189;8306271;9059918;225240;130064;0.59;12.97;7.49;77.3;73.97;80.39;10.09;10.78;9.38;1.73;27.31;17.29;44.6;63.49
2021;17463349;8355190;9108159;222635;131651;0.56;12.75;7.54;77.55;74.27;80.59;9.78;10.43;9.09;1.72;27.34;17.95;45.29;65.96
2022;17556065;8402060;9154005;219808;133376;0.53;12.52;7.6;77.79;74.56;80.79;9.47;10.1;8.81;1.72;27.4;18.65;46.04;68.09
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
