Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento
2010;3239939;1584137;1655802;49915;21068;x;15.41;6.5;74.1;70.16;78.14;20.6;23.86;17.17;1.73;38.05;11.16;49.21;29.41
2011;3271415;1598982;1672433;50858;21062;0.97;15.55;6.44;74.41;70.45;78.45;19.25;22.3;16.06;1.76;36.95;11.3;48.25;30.52
2012;3302720;1613743;1688977;49724;21155;0.96;15.06;6.41;74.69;70.72;78.75;18.08;20.92;15.09;1.71;35.89;11.49;47.38;31.97
2013;3332952;1627967;1704985;48992;21278;0.92;14.7;6.38;74.97;70.99;79.03;17.04;19.71;14.24;1.68;34.86;11.7;46.56;33.61
2014;3363084;1642156;1720928;49875;21441;0.9;14.83;6.38;75.23;71.24;79.29;16.14;18.64;13.5;1.7;33.92;11.92;45.84;35.19
2015;3393814;1656668;1737146;50605;21629;0.91;14.91;6.37;75.48;71.49;79.54;15.34;17.7;12.87;1.73;33.12;12.12;45.23;36.4
2016;3422843;1670328;1752515;46897;21798;0.86;13.7;6.37;75.72;71.73;79.77;14.65;16.87;12.32;1.6;32.36;12.31;44.67;37.95
2017;3450669;1683393;1767276;48628;21994;0.81;14.09;6.37;75.96;71.96;79.99;14.05;16.15;11.84;1.66;31.69;12.5;44.19;39.55
2018;3479010;1696742;1782268;48442;22249;0.82;13.92;6.4;76.17;72.18;80.19;13.53;15.52;11.44;1.65;31.1;12.69;43.79;40.74
2019;3506853;1709856;1796997;48223;22518;0.8;13.75;6.42;76.38;72.4;80.38;13.07;14.96;11.09;1.65;30.56;12.91;43.47;42.25
2020;3534165;1722717;1811448;48008;22815;0.78;13.58;6.46;76.57;72.6;80.56;12.68;14.48;10.79;1.65;29.99;13.16;43.15;44.02
2021;3560903;1735303;1825600;47760;23135;0.76;13.41;6.5;76.76;72.8;80.73;12.34;14.06;10.54;1.65;29.45;13.45;42.9;45.63
2022;3586972;1747566;1839406;47419;23500;0.73;13.22;6.55;76.93;72.99;80.88;12.05;13.69;10.32;1.64;29.04;13.77;42.82;47.29
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
