Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento
2010;1412989;717988;695001;25720;8767;x;18.2;6.2;71.56;68.69;74.87;19.39;19.62;19.15;2.03;45.24;8.91;54.15;19.8
2011;1431478;726648;704830;26189;8796;1.31;18.3;6.14;71.89;69.01;75.21;18.69;18.91;18.46;2.04;43.89;9.01;52.9;20.56
2012;1449779;735205;714574;25465;8847;1.28;17.56;6.1;72.21;69.32;75.54;18.04;18.25;17.82;1.97;42.56;9.12;51.68;21.35
2013;1467474;743446;724028;25127;8908;1.22;17.12;6.07;72.52;69.62;75.85;17.43;17.63;17.22;1.92;41.23;9.25;50.48;22.26
2014;1485318;751758;733560;25956;8998;1.22;17.48;6.06;72.82;69.91;76.15;16.86;17.06;16.65;1.97;40.03;9.41;49.43;23.51
2015;1503482;760230;743252;25992;9095;1.22;17.29;6.05;73.11;70.19;76.44;16.32;16.52;16.11;1.96;39;9.58;48.58;24.43
2016;1520448;768086;752362;23787;9185;1.13;15.64;6.04;73.39;70.46;76.71;15.82;16.01;15.61;1.78;38.05;9.79;47.84;25.68
2017;1537350;775907;761443;26112;9303;1.11;16.99;6.05;73.65;70.72;76.98;15.34;15.54;15.14;1.94;37.2;10.01;47.22;26.88
2018;1555229;784227;771002;26045;9450;1.16;16.75;6.08;73.91;70.97;77.23;14.91;15.1;14.7;1.93;36.47;10.25;46.72;28.11
2019;1572866;792423;780443;25958;9592;1.13;16.5;6.1;74.15;71.21;77.47;14.49;14.69;14.29;1.92;35.8;10.51;46.31;29.39
2020;1590248;800489;789759;25863;9739;1.11;16.26;6.12;74.39;71.44;77.7;14.11;14.3;13.9;1.91;35.15;10.77;45.93;30.71
2021;1607363;808419;798944;25770;9896;1.08;16.03;6.16;74.62;71.66;77.92;13.75;13.94;13.54;1.9;34.47;11.05;45.52;32.07
2022;1624183;816200;807983;25636;10064;1.05;15.78;6.2;74.83;71.88;78.13;13.41;13.6;13.2;1.89;33.93;11.34;45.27;33.33
;;;;;;;;;;;;;;;;;;;
